date,india_close,us_close,usdinr,fair_value,premium
2023-10-06,1478.7,17.79,83.25,17.762162162162163,0.001567255021302394
2023-10-09,1475.5,17.75,83.25,17.723723723723722,0.001482548288715746
2023-10-10,1495.2,17.85,83.25,17.96036036036036,-0.006144662921348298
2023-10-11,1494.4,17.61,83.18,17.965857177206058,-0.019807414346895036
2023-10-12,1465.5,16.46,83.28,17.597262247838618,-0.06462722620266126
2023-10-13,1431.2,16.9,83.26,17.18952678356954,-0.01684320849636678
2023-10-16,1434.2,17.21,83.28,17.221421709894333,-0.0006632268860689017
2023-10-17,1442.5,17.35,83.22,17.33357366017784,0.0009476603119584759
2023-10-18,1440.6,17.14,83.25,17.304504504504504,-0.009506455643481848
2023-10-19,1433.7,17.09,83.1,17.252707581227437,-0.009430843272651201
2023-10-20,1427.3,16.97,83.14,17.1674284339668,-0.011500175155888748
2023-10-23,1408.7,16.78,83.19,16.933525664142326,-0.00906637325193449
2023-10-25,1370.1,16.38,83.18,16.47150757393604,-0.005555506897306772
2023-10-26,1359.5,16.32,83.24,16.332292167227294,-0.0007526296432511792
2023-10-27,1380.4,16.44,83.27,16.57739882310556,-0.008288322225441846
2023-10-30,1377.1,16.5,83.25,16.541741741741742,-0.0025234187785927453
2023-10-31,1368.4,16.42,83.26,16.43526303146769,-0.0009286758257818217
2023-11-01,1354.2,16.4,83.24,16.268620855358,0.008075616600206725
2023-11-02,1370.2,16.69,83.22,16.4647921172795,0.013678149175302856
2023-11-03,1389.1,16.68,83.14,16.70796247293721,-0.0016736016125546982
2023-11-06,1403.3,16.86,83.19,16.868614016107706,-0.0005106534597022483
2023-11-07,1404.3,16.79,83.22,16.874549387166546,-0.005010467848750255
2023-11-08,1391.0,16.67,83.28,16.70268972142171,-0.001957153127246425
2023-11-09,1374.8,16.36,83.25,16.514114114114115,-0.00933226651149266
2023-11-10,1368.9,16.63,83.25,16.443243243243245,0.011357659434582335
2023-11-13,1373.6,16.55,83.32,16.485837734037446,0.0038919627256843725
2023-11-15,1410.5,17.36,83.11,16.971483575983637,0.022892307692307545
2023-11-16,1444.9,17.27,83.22,17.362412881518868,-0.0053225828777079265
2023-11-17,1437.6,17.51,83.25,17.268468468468466,0.013986853088481022
2023-11-20,1436.6,17.54,83.33,17.239889595583822,0.01740790755951549
2023-11-21,1439.0,17.44,83.26,17.283209224117222,0.009071855455177413
2023-11-22,1457.8,17.58,83.29,17.50270140473046,0.0044163808478527855
2023-11-24,1437.4,17.47,83.34,17.247420206383488,0.01290510644218723
2023-11-28,1442.7,17.63,83.33,17.31309252370095,0.018304498509738698
2023-11-29,1459.6,17.62,83.31,17.52010562957628,0.005701699095642887
2023-11-30,1455.2,17.55,83.36,17.456813819577736,0.00533809785596473
2023-12-01,1452.3,17.73,83.27,17.44085504983788,0.01657859946292084
2023-12-04,1464.4,17.69,83.4,17.558752997601918,0.007474733679322609
2023-12-05,1454.0,17.46,83.33,17.448697947917918,0.0006477303988996486
2023-12-06,1474.3,17.69,83.32,17.694431108977437,-0.0002504239300006317
2023-12-07,1465.9,17.64,83.32,17.593614978396545,0.002636469063374003
2023-12-08,1491.2,17.89,83.38,17.88438474454306,0.0003139753218883712
2023-12-11,1488.5,17.41,83.38,17.852002878388102,-0.0247592878736983
2023-12-12,1476.1,17.55,83.37,17.705409619767302,-0.008777521848113201
2023-12-13,1449.0,17.47,83.4,17.374100719424458,0.005519668737060002
2023-12-14,1501.5,18.37,83.28,18.029538904899134,0.018883516483516605
2023-12-15,1578.4,18.67,83.02,19.012286196097328,-0.01800342118601117
2023-12-18,1564.4,18.8,83.04,18.839113680154142,-0.0020761953464586425
2023-12-19,1558.3,18.79,83.18,18.734070690069725,0.0029854328434835153
2023-12-20,1536.4,18.42,83.14,18.4796728409911,-0.0032291070033844127
2023-12-21,1536.0,18.41,83.27,18.44601897442056,-0.0019526692708333737
2023-12-22,1562.9,18.76,83.12,18.80293551491819,-0.002283447437455899
2023-12-26,1544.0,18.45,83.17,18.564386196946014,-0.006161593264248699
2023-12-27,1567.1,18.6,83.35,18.80143971205759,-0.010714057813796196
2023-12-28,1562.7,18.56,83.15,18.79374624173181,-0.01243744800665525
