date,capital,peak,drawdown
2023-09-20,105753.42865816882,105753.42865816882,0.0
2023-09-21,105753.42865816882,105753.42865816882,0.0
2023-09-22,105753.42865816882,105753.42865816882,0.0
2023-09-25,105753.42865816882,105753.42865816882,0.0
2023-09-26,105753.42865816882,105753.42865816882,0.0
2023-09-27,105753.42865816882,105753.42865816882,0.0
2023-09-28,105753.42865816882,105753.42865816882,0.0
2023-09-29,105753.42865816882,105753.42865816882,0.0
2023-10-03,105753.42865816882,105753.42865816882,0.0
2023-10-04,105753.42865816882,105753.42865816882,0.0
2023-10-05,105753.42865816882,105753.42865816882,0.0
2023-10-06,105753.42865816882,105753.42865816882,0.0
2023-10-09,105753.42865816882,105753.42865816882,0.0
2023-10-10,105753.42865816882,105753.42865816882,0.0
2023-10-11,105753.42865816882,105753.42865816882,0.0
2023-10-12,105753.42865816882,105753.42865816882,0.0
2023-10-13,105753.42865816882,105753.42865816882,0.0
2023-10-16,106376.99316768158,106376.99316768158,0.0
2023-10-17,106376.99316768158,106376.99316768158,0.0
2023-10-18,106376.99316768158,106376.99316768158,0.0
2023-10-19,106376.99316768158,106376.99316768158,0.0
2023-10-20,106376.99316768158,106376.99316768158,0.0
2023-10-23,106376.99316768158,106376.99316768158,0.0
2023-10-25,106376.99316768158,106376.99316768158,0.0
2023-10-26,106376.99316768158,106376.99316768158,0.0
2023-10-27,106376.99316768158,106376.99316768158,0.0
2023-10-30,106376.99316768158,106376.99316768158,0.0
2023-10-31,106376.99316768158,106376.99316768158,0.0
2023-11-01,106376.99316768158,106376.99316768158,0.0
2023-11-02,106376.99316768158,106376.99316768158,0.0
2023-11-03,106376.99316768158,106376.99316768158,0.0
2023-11-06,106376.99316768158,106376.99316768158,0.0
2023-11-07,106376.99316768158,106376.99316768158,0.0
2023-11-08,106376.99316768158,106376.99316768158,0.0
2023-11-09,106376.99316768158,106376.99316768158,0.0
2023-11-10,106376.99316768158,106376.99316768158,0.0
2023-11-13,106376.99316768158,106376.99316768158,0.0
2023-11-15,106376.99316768158,106376.99316768158,0.0
2023-11-16,106376.99316768158,106376.99316768158,0.0
2023-11-17,106376.99316768158,106376.99316768158,0.0
2023-11-20,106376.99316768158,106376.99316768158,0.0
2023-11-21,106376.99316768158,106376.99316768158,0.0
2023-11-22,106376.99316768158,106376.99316768158,0.0
2023-11-24,106376.99316768158,106376.99316768158,0.0
2023-11-28,106376.99316768158,106376.99316768158,0.0
2023-11-29,106376.99316768158,106376.99316768158,0.0
2023-11-30,106376.99316768158,106376.99316768158,0.0
2023-12-01,106376.99316768158,106376.99316768158,0.0
2023-12-04,106376.99316768158,106376.99316768158,0.0
2023-12-05,106376.99316768158,106376.99316768158,0.0
2023-12-06,106376.99316768158,106376.99316768158,0.0
2023-12-07,106376.99316768158,106376.99316768158,0.0
2023-12-08,106376.99316768158,106376.99316768158,0.0
2023-12-11,106376.99316768158,106376.99316768158,0.0
2023-12-12,106376.99316768158,106376.99316768158,0.0
2023-12-13,106376.99316768158,106376.99316768158,0.0
2023-12-14,106376.99316768158,106376.99316768158,0.0
2023-12-15,106376.99316768158,106376.99316768158,0.0
2023-12-18,106376.99316768158,106376.99316768158,0.0
2023-12-19,106376.99316768158,106376.99316768158,0.0
2023-12-20,106376.99316768158,106376.99316768158,0.0
2023-12-21,106376.99316768158,106376.99316768158,0.0
2023-12-22,106376.99316768158,106376.99316768158,0.0
2023-12-26,106376.99316768158,106376.99316768158,0.0
2023-12-27,106376.99316768158,106376.99316768158,0.0
2023-12-28,106376.99316768158,106376.99316768158,0.0
2023-12-29,106376.99316768158,106376.99316768158,0.0
2024-01-02,106376.99316768158,106376.99316768158,0.0
2024-01-03,106376.99316768158,106376.99316768158,0.0
2024-01-04,106376.99316768158,106376.99316768158,0.0
2024-01-05,106376.99316768158,106376.99316768158,0.0
2024-01-08,106376.99316768158,106376.99316768158,0.0
2024-01-09,106376.99316768158,106376.99316768158,0.0
2024-01-10,106376.99316768158,106376.99316768158,0.0
2024-01-11,106376.99316768158,106376.99316768158,0.0
2024-01-12,106376.99316768158,106376.99316768158,0.0
2024-01-16,106376.99316768158,106376.99316768158,0.0
2024-01-17,106376.99316768158,106376.99316768158,0.0
2024-01-18,106770.37206759128,106770.37206759128,0.0
2024-01-19,106770.37206759128,106770.37206759128,0.0
2024-01-23,106770.37206759128,106770.37206759128,0.0
2024-01-24,106770.37206759128,106770.37206759128,0.0
2024-01-25,106770.37206759128,106770.37206759128,0.0
2024-01-29,106770.37206759128,106770.37206759128,0.0
2024-01-30,106770.37206759128,106770.37206759128,0.0
2024-01-31,106770.37206759128,106770.37206759128,0.0
2024-02-01,106770.37206759128,106770.37206759128,0.0
2024-02-02,106770.37206759128,106770.37206759128,0.0
2024-02-05,106770.37206759128,106770.37206759128,0.0
2024-02-06,106770.37206759128,106770.37206759128,0.0
2024-02-07,106770.37206759128,106770.37206759128,0.0
2024-02-08,106770.37206759128,106770.37206759128,0.0
2024-02-09,106770.37206759128,106770.37206759128,0.0
2024-02-12,106770.37206759128,106770.37206759128,0.0
2024-02-13,106770.37206759128,106770.37206759128,0.0
2024-02-14,106770.37206759128,106770.37206759128,0.0
2024-02-15,106770.37206759128,106770.37206759128,0.0
2024-02-16,106770.37206759128,106770.37206759128,0.0
2024-02-20,106770.37206759128,106770.37206759128,0.0
2024-02-21,106770.37206759128,106770.37206759128,0.0
2024-02-22,106770.37206759128,106770.37206759128,0.0
2024-02-23,106770.37206759128,106770.37206759128,0.0
2024-02-26,106770.37206759128,106770.37206759128,0.0
2024-02-27,106770.37206759128,106770.37206759128,0.0
2024-02-28,106770.37206759128,106770.37206759128,0.0
2024-02-29,106770.37206759128,106770.37206759128,0.0
2024-03-01,106770.37206759128,106770.37206759128,0.0
2024-03-04,106770.37206759128,106770.37206759128,0.0
2024-03-05,106770.37206759128,106770.37206759128,0.0
2024-03-06,106770.37206759128,106770.37206759128,0.0
